region,year,category,subcategory,subcategory_contribution,subcategory_weight_total,subcategory_score
인천,2021,사회·문화,사회적 가치관,6.126638124307103,0.1322645290581162,46.32109733377644
인천,2022,사회·문화,사회적 가치관,5.408689940429411,0.1322645290581162,40.89297394354965
인천,2023,사회·문화,사회적 가치관,5.82456606327677,0.1322645290581162,44.03724947841074
인천,2024,사회·문화,사회적 가치관,6.3995839991619725,0.1322645290581162,48.38473356942159
전남,2016,사회·문화,사회적 가치관,9.72795147253767,0.1322645290581162,73.54920886054998
전남,2017,사회·문화,사회적 가치관,9.277550329188026,0.1322645290581162,70.14390324643676
전남,2018,사회·문화,사회적 가치관,8.82714918583838,0.1322645290581162,66.73859763232352
전남,2019,사회·문화,사회적 가치관,9.143035616589394,0.1322645290581162,69.12689049512286
전남,2020,사회·문화,사회적 가치관,9.458922047340405,0.1322645290581162,71.51518335792217
전남,2021,사회·문화,사회적 가치관,9.366134060300642,0.1322645290581162,70.8136499407579
전남,2022,사회·문화,사회적 가치관,9.27334607326088,0.1322645290581162,70.11211652359364
전남,2023,사회·문화,사회적 가치관,9.81603299549275,0.1322645290581162,74.21515855683157
전남,2024,사회·문화,사회적 가치관,10.47365567158528,0.1322645290581162,79.18718454728872
전북,2016,사회·문화,사회적 가치관,8.188947182030148,0.1322645290581162,61.91340369444008
전북,2017,사회·문화,사회적 가치관,8.473496567800659,0.1322645290581162,64.06476950503833
전북,2018,사회·문화,사회적 가치관,8.758045953571173,0.1322645290581162,66.21613531563662
전북,2019,사회·문화,사회적 가치관,8.750953421882109,0.1322645290581162,66.16251147756323
전북,2020,사회·문화,사회적 가치관,8.74386089019304,0.1322645290581162,66.10888763948982
전북,2021,사회·문화,사회적 가치관,8.291045571032615,0.1322645290581162,62.68532939311024
전북,2022,사회·문화,사회적 가치관,7.838230251872192,0.1322645290581162,59.26177114673068
전북,2023,사회·문화,사회적 가치관,8.205094091808181,0.1322645290581162,62.03548411836793
전북,2024,사회·문화,사회적 가치관,8.695734897440275,0.1322645290581162,65.74502596701058
제주,2016,사회·문화,사회적 가치관,7.4301204354398385,0.1322645290581162,56.1762135952194
