지역,연도,구조환경종합지수,합계출산율,구조환경_연도별순위,TFR_연도별순위,구조환경_연도별순위점수,TFR_연도별순위점수,순위차이_TFR_minus_구조환경,절대순위차이,연도별_Spearman_rho,구조환경_시도내_z,TFR_시도내_z,시도별_동시점_Pearson_r
대전,2017,41.106526018472834,1.075,9.0,11.0,50.0,37.5,2.0,2.0,0.4558823529411765,-1.0368844281897747,1.2664940658929207,-0.8308458791528447
대전,2018,43.531837745791904,0.952,9.0,15.0,50.0,12.5,6.0,6.0,0.5637254901960785,-0.7935582922121884,0.3543216970292487,-0.8308458791528447
대전,2019,45.897144321816135,0.883,9.0,15.0,50.0,12.5,6.0,6.0,0.4607843137254902,-0.5562523397181757,-0.1573847537967133,-0.8308458791528447
대전,2020,50.58167307040211,0.805,8.0,15.0,56.25,12.5,7.0,7.0,0.5220588235294118,-0.08626398051894416,-0.7358355242956269,-0.8308458791528447
대전,2021,53.2196757224262,0.81,6.0,13.0,68.75,25.0,7.0,7.0,0.5416666666666667,0.17840096328405136,-0.6987553466995426,-0.8308458791528447
대전,2022,59.7069439706091,0.842,1.0,10.0,100.0,43.75,9.0,9.0,0.5000000000000001,0.8292541703583117,-0.46144221008460423,-0.8308458791528447
대전,2023,66.20172235665768,0.787,1.0,10.0,100.0,43.75,9.0,9.0,0.5980392156862745,1.4808608528753082,-0.8693241636415303,-0.8308458791528447
대전,2024,65.57521999105606,0.792,4.0,11.0,81.25,37.5,7.0,7.0,0.4917229618288157,1.4180052627730118,-0.832243986045446,-0.8308458791528447
부산,2016,34.881650454844824,1.095,11.0,16.0,37.5,6.25,5.0,5.0,0.497854170829175,-1.370996325707242,2.0174634807841842,-0.8921969217850582
부산,2017,36.95927206138899,0.976,12.0,16.0,31.25,6.25,4.0,4.0,0.4558823529411765,-1.0327514015751351,1.1576531393914817,-0.8921969217850582
부산,2018,38.390221483452024,0.899,12.0,16.0,31.25,6.25,4.0,4.0,0.5637254901960785,-0.7997872385254065,0.6013052714314983,-0.8921969217850582
부산,2019,40.54151922272432,0.827,11.0,16.0,37.5,6.25,5.0,5.0,0.4607843137254902,-0.44954755180203776,0.0810838884039805,-0.8921969217850582
부산,2020,43.655807955516835,0.747,12.0,16.0,31.25,6.25,4.0,4.0,0.5220588235294118,0.05747083539169775,-0.49693987051548294,-0.8921969217850582
부산,2021,44.13915702556088,0.728,13.0,16.0,25.0,6.25,3.0,3.0,0.5416666666666667,0.13616195460773006,-0.6342205132588556,-0.8921969217850582
부산,2022,45.00202666688669,0.723,14.0,16.0,18.75,6.25,2.0,2.0,0.5000000000000001,0.2766405073176335,-0.6703469981913223,-0.8921969217850582
부산,2023,52.12096241243805,0.664,13.0,16.0,25.0,6.25,3.0,3.0,0.5980392156862745,1.4356310923070927,-1.0966395203944264,-0.8921969217850582
부산,2024,54.03459601519328,0.683,12.0,16.0,31.25,6.25,4.0,4.0,0.4917229618288157,1.7471781279856684,-0.9593588776510535,-0.8921969217850582
서울,2016,33.43294587141602,0.94,13.0,17.0,25.0,0.0,4.0,4.0,0.497854170829175,-1.412266203291459,1.998203914124446,-0.8783687476260926
서울,2017,36.67685848148963,0.836,13.0,17.0,25.0,0.0,4.0,4.0,0.4558823529411765,-0.8629548285358425,1.1526709739705214,-0.8783687476260926
서울,2018,37.22305172680363,0.761,13.0,17.0,25.0,0.0,4.0,4.0,0.5637254901960785,-0.7704646173217812,0.5429116421287491,-0.8783687476260926
서울,2019,38.910461108282064,0.717,13.0,17.0,25.0,0.0,4.0,4.0,0.4607843137254902,-0.48472536397783633,0.18518616744824215,-0.8783687476260926
서울,2020,42.017443627079906,0.642,13.0,17.0,25.0,0.0,4.0,4.0,0.5220588235294118,0.041398808862868106,-0.4245731643935302,-0.8783687476260926
서울,2021,40.87239695804997,0.626,15.0,17.0,12.5,0.0,2.0,2.0,0.5416666666666667,-0.1524988806035263,-0.5546551551864418,-0.8783687476260926
서울,2022,44.3031843060792,0.593,17.0,17.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.42845712566735406,-0.822949261196822,-0.8783687476260926
서울,2023,50.22180147838096,0.552,14.0,17.0,18.75,0.0,3.0,3.0,0.5980392156862745,1.430692428022031,-1.1562843626036572,-0.8783687476260926
서울,2024,52.298554101260954,0.581,14.0,17.0,18.75,0.0,3.0,3.0,0.4917229618288157,1.7823615311781897,-0.9205107542915058,-0.8783687476260926
세종,2016,40.71166094053633,1.821,4.0,1.0,81.25,100.0,-3.0,3.0,0.497854170829175,-1.546745188329179,1.6749641816436678,-0.9637276254650986
세종,2017,41.58791756757145,1.668,7.0,1.0,62.5,100.0,-6.0,6.0,0.4558823529411765,-1.4265165302431733,1.1242417179083928,-0.9637276254650986
세종,2018,49.181388516492355,1.566,1.0,1.0,100.0,100.0,0.0,0.0,0.5637254901960785,-0.38463816466336065,0.7570934087515433,-0.9637276254650986
세종,2019,50.10263180253459,1.472,1.0,1.0,100.0,100.0,0.0,0.0,0.4607843137254902,-0.2582370161478116,0.41874104541091656,-0.9637276254650986
세종,2020,52.50534776748987,1.277,1.0,1.0,100.0,100.0,0.0,0.0,0.5220588235294118,0.07143274875408473,-0.2831601338595321,-0.9637276254650986
세종,2021,53.88408744610693,1.277,5.0,1.0,75.0,100.0,-4.0,4.0,0.5416666666666667,0.2606056648790504,-0.2831601338595321,-0.9637276254650986
