지역,연도,지표체계내_실질인구1인당예산_원,예산결측_사업수,log1p_지표체계내_실질인구1인당예산,종합재정대응지수_z,종합재정대응점수_0_100,연도별_종합재정대응순위,예산누락주의
인천,2018,298242.6779190394,3,12.605666142481649,-0.7176072696270516,38.19142322381969,15.0,True
인천,2019,478635.2845962945,0,13.078696265615882,0.24145413708864677,50.23260329928634,5.0,False
인천,2020,640275.95555044,0,13.369656104777148,0.8313708020038546,57.639107973567775,2.0,False
인천,2021,712976.3971702155,0,13.477204997870404,1.0494245530362474,60.37681013103801,1.0,False
인천,2022,1014991.0335307604,6,13.830391321689056,1.7655044726614542,69.36731605720216,1.0,True
인천,2023,901352.0825683271,0,13.711652338370335,1.5247629832630527,66.34476546223121,1.0,False
인천,2024,913089.0000364118,0,13.724589730881348,1.5509933505357185,66.67409221186803,1.0,False
전남,2016,630752.9282207243,8,13.354671094340787,0.8009889204155926,57.2576582512934,2.0,True
전남,2017,203446.44566436138,2,12.223162998248348,-1.4931265983981428,28.454645344584346,15.0,True
전남,2018,340593.4338581306,3,12.73844770491081,-0.4483946638728048,41.57143355660273,10.0,True
전남,2019,132718.13642062614,0,11.795990418066681,-2.3592125316678647,17.580788248152587,17.0,False
전남,2020,131292.62213182478,0,11.785191484334437,-2.381107206171157,17.305896863157024,16.0,False
전남,2021,146084.68022206306,0,11.89194857939691,-2.1646588136478697,20.023443469837233,17.0,False
전남,2022,285420.08257344726,5,12.561720851560956,-0.8067056810552182,37.07277742185948,16.0,True
전남,2023,373848.1404259672,0,12.83160762717697,-0.2595143331528206,43.942858429908284,15.0,False
전남,2024,290885.77435727144,1,12.5806893788821,-0.7682472793462444,37.55562923629982,16.0,True
전북,2016,405137.30925043207,13,12.911983792111402,-0.09655287670757381,45.98886740146856,3.0,True
전북,2017,427092.9753611376,0,12.96475935080906,0.010448768831225922,47.33229137128103,6.0,False
전북,2018,421373.8628021926,14,12.951278126940801,-0.01688420827745025,46.98912116647501,6.0,True
전북,2019,473348.25983018306,0,13.067588787871824,0.21893389427684362,49.94985779713046,6.0,False
전북,2020,474991.2759213681,0,13.071053821666391,0.22595919778884055,50.03806168489032,9.0,False
전북,2021,418714.7075579719,0,12.944947466369175,-0.02971952665640331,46.827971547853416,13.0,False
전북,2022,560862.8255246407,0,13.23723341978967,0.5628858148244626,54.268233016501796,6.0,False
전북,2023,551338.4513856741,0,13.220105962666217,0.5281601550431306,53.832246415708084,7.0,False
전북,2024,579917.6391421127,0,13.270643095341631,0.6306234257412348,55.11869031279099,8.0,False
제주,2016,659922.9414574536,9,13.399879867145964,0.8926490222187066,58.408466514266365,1.0,True
제주,2017,583320.0055629599,11,13.276492923687636,0.6424838640689067,55.267600145547725,3.0,True
제주,2018,3381319.542194437,8,15.033776884115515,4.205350465290919,100.0,1.0,True
제주,2019,689396.4301478834,0,13.443573205393148,0.9812366034192339,59.52069875530553,1.0,False
제주,2020,805934.4256298556,0,13.599758901194674,1.2979007349375018,63.496471113939336,1.0,False
제주,2021,646056.2715513111,0,13.378643434487243,0.8495924768039088,57.86788421876714,2.0,False
제주,2022,794500.7785996173,0,13.585470503596575,1.2689312253228735,63.13275396347837,2.0,False
제주,2023,825975.0946066974,0,13.624321110930193,1.347700242979209,64.1217124590721,2.0,False
제주,2024,885862.6903432144,0,13.694318369380253,1.4896186238014533,65.90352201530405,2.0,False
충남,2016,382013.74410366616,1,12.85321448397388,-0.21570675841097273,44.49287002712442,6.0,True
충남,2017,359837.70728849183,0,12.79341117472474,-0.3369570616997068,42.970551721037694,8.0,False
충남,2018,271382.72237728344,2,12.511289048081972,-0.9089553984036398,35.78901472362498,17.0,True
충남,2019,464026.296422768,0,13.04769865797541,0.17860695731177556,49.44354620280695,7.0,False
충남,2020,548949.8963354663,5,13.215764274479591,0.5193574480353892,53.721726922910676,6.0,True
충남,2021,412374.54779085214,0,12.929689736910364,-0.06065434193010836,46.43957964854055,14.0,False
