지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,CPI_지수,CPI_기준연도,당해계획예산_실질_백만원_provisional,전년대비_실질증감률_pct_provisional,전체인구_명,인구1인당_실질예산_원,log1p_인구1인당_실질예산,세부영역_재정대응지수_z,세부영역_재정대응점수_0_100
울산,2017,1-2. 주거안정성,0.0,0,0,85.339636,2024,0.0,,1165132,0.0,0.0,-2.1430285928748103,0.0
울산,2018,1-2. 주거안정성,1049.0,2,0,86.797969,2024,1208.5536241061125,inf,1155623,1045.8026744934225,6.953495725575752,-0.030159096589097937,56.17663916949866
울산,2019,1-2. 주거안정성,2271.0,4,0,87.068452,2024,2608.292610967748,115.81935289771938,1148019,2271.994288393962,7.728853311044266,0.20543886099999945,62.440680311566354
울산,2020,1-2. 주거안정성,3185.0,3,0,87.535014,2024,3638.544000232867,39.499072494127404,1136017,3202.8957315188654,8.07212276443738,0.3097437438538572,65.21392199923264
울산,2021,1-2. 주거안정성,5006.0,6,0,89.802171,2024,5574.475476767705,53.206213155892534,1121592,4970.145540238968,8.511405583525463,0.4432229757860455,68.76284665456895
울산,2022,1-2. 주거안정성,5302.0,7,0,94.590336,2024,5605.223772542684,0.5515908340278042,1110663,5046.736744217358,8.526695252349548,0.44786885120492276,68.88637045359746
울산,2023,1-2. 주거안정성,10024.0,9,0,97.706583,2024,10259.288261058111,83.03084189633012,1103661,9295.68795224087,9.137413481542866,0.6334399607897132,73.82030569273758
울산,2024,1-2. 주거안정성,14337.0,9,0,100.0,2024,14337.0,39.746536359836405,1098049,13056.794368921606,9.477140504105478,0.736668450655086,76.5649284142893
울산,2016,1-3. 경제적 여건,7916.0,15,0,83.786765,2024,9447.792858454435,,1172304,8059.1662729585805,8.994689464687218,-1.1796050128004703,54.068401567296696
울산,2017,1-3. 경제적 여건,13424.4,13,0,85.339636,2024,15730.556900898899,66.49980727321176,1165132,13501.094211556201,9.510600079177546,-0.8071289872652312,60.53648752473695
울산,2018,1-3. 경제적 여건,103296.0,14,0,86.797969,2024,119007.39290339848,656.5364255895987,1155623,102981.15640083182,11.542311013377319,0.6597212626658162,86.00849874911871
울산,2019,1-3. 경제적 여건,91466.0,15,0,87.068452,2024,105050.6789761233,-11.727602451222696,1148019,91506.04561085076,11.424171249510655,0.5744269724016035,84.5273542907203
울산,2020,1-3. 경제적 여건,99421.0,17,0,87.535014,2024,113578.55040726902,8.117864172095457,1136017,99979.62214233504,11.512731667616084,0.6383656308225719,85.63765592174732
울산,2021,1-3. 경제적 여건,88980.0,20,0,89.802171,2024,99084.46422748509,-12.761288225471413,1121592,88342.69879553803,11.388990154271028,0.5490270016299635,84.0862810859916
울산,2022,1-3. 경제적 여건,112426.0,22,0,94.590336,2024,118855.69367255447,19.95391467190779,1110663,107013.28276223702,11.580717588295103,0.6874499582537725,86.49001050895043
울산,2023,1-3. 경제적 여건,159154.0,24,0,97.706583,2024,162889.7410116164,37.048328084622526,1103661,147590.3751347709,11.902202755394907,0.9195551213316137,90.52054145062881
울산,2024,1-3. 경제적 여건,203711.0,25,0,100.0,2024,203711.0,25.060669097308264,1098049,185520.86473372317,12.130928023268092,1.0846896937246462,93.38812093376045
울산,2016,2-1. 돌봄 여건,365990.0,41,0,83.786765,2024,436811.23146358493,,1172304,372609.1794138593,12.828288056727756,0.39571324419710785,53.71816692133831
울산,2017,2-1. 돌봄 여건,1787681.0,44,0,85.339636,2024,2094783.9524415126,379.56274966252687,1165132,1797894.103364694,14.402127151580277,3.037998604843527,87.1002521640875
울산,2018,2-1. 돌봄 여건,497786.0,57,0,86.797969,2024,573499.5942128554,-72.62249438447195,1155623,496268.76084402564,13.114874930531334,0.8768579200926935,59.79684896834931
울산,2019,2-1. 돌봄 여건,170674.0,50,0,87.068452,2024,196022.77986979717,-65.81989214153778,1148019,170748.7244286002,12.047954163543595,-0.9143729197064148,37.166810035315
울산,2020,2-1. 돌봄 여건,314216.0,46,0,87.535014,2024,358960.3584229735,83.12175690060266,1136017,315981.5024097118,12.66344211891479,0.11895686568940392,50.22168423388228
울산,2021,2-1. 돌봄 여건,464438.0,68,0,89.802171,2024,517179.0334556611,44.07692139817119,1121592,461111.5570150831,13.041397450561107,0.7534981241024206,58.23834689033455
울산,2022,2-1. 돌봄 여건,399851.8,68,0,94.590336,2024,422719.50487626984,-18.26437702786138,1110663,380601.05079242744,12.849509622143982,0.4313416841136737,54.16828924199106
울산,2023,2-1. 돌봄 여건,412914.0,75,0,97.706583,2024,422606.12061318324,-0.02682257662082188,1103661,382912.9783630872,12.855565643362336,0.4415090107872565,54.2967411385059
울산,2024,2-1. 돌봄 여건,389419.0,82,0,100.0,2024,389419.0,-7.852967336353334,1098049,354646.28627684194,12.778879014766309,0.31276144265317146,52.67017106463725
울산,2016,2-2. 여가 인프라,1926.0,12,0,83.786765,2024,2298.692400882168,,1172304,1960.8330269982596,7.5816345330370645,-0.23540204887155936,66.80195810164138
울산,2017,2-2. 여가 인프라,786.0,11,0,85.339636,2024,921.0257236156948,-59.93262416223095,1165132,790.4904539706185,6.673917818566869,-0.8455697264066097,58.8040450310535
울산,2018,2-2. 여가 인프라,11307.0,10,0,86.797969,2024,13026.80250502175,1314.3798778911505,1155623,11272.536549568284,9.330213359899485,0.939993605703707,82.20872678990855
울산,2019,2-2. 여가 인프라,8231.0,8,0,87.068452,2024,9453.481497523351,-27.430530294144752,1148019,8234.603693426112,9.016221948173287,0.7289284050692239,79.44214116262611
울산,2020,2-2. 여가 인프라,3022.0,15,0,87.535014,2024,3452.332800220949,-63.480831891135544,1136017,3038.979874615388,8.019606174186046,0.0590027305557598,70.6609364122223
울산,2021,2-2. 여가 인프라,3002.0,13,0,89.802171,2024,3342.9035919410007,-3.169717828853147,1121592,2980.498783818894,8.000181400653936,0.04594538704341756,70.48978428111239
울산,2022,2-2. 여가 인프라,2407.0,15,0,94.590336,2024,2544.657416165643,-23.87882730748658,1110663,2291.115681503429,7.7372305484211035,-0.1308103212685261,68.17291820993655
울산,2023,2-2. 여가 인프라,2807.0,13,0,97.706583,2024,2872.887285394066,12.89878421917432,1103661,2603.0522827154955,7.8648240809746355,-0.04504187811264354,69.29714779110935
울산,2024,2-2. 여가 인프라,3360.0,15,0,100.0,2024,3360.0,16.955510822942642,1098049,3059.97273345725,8.026488031181874,0.06362871863478624,70.72157261417763
울산,2016,2-3. 가사수행 격차,0.0,0,0,83.786765,2024,0.0,,1172304,0.0,0.0,-0.931640529002546,0.0
울산,2017,2-3. 가사수행 격차,0.0,0,0,85.339636,2024,0.0,,1165132,0.0,0.0,-0.931640529002546,0.0
울산,2018,2-3. 가사수행 격차,0.0,0,0,86.797969,2024,0.0,,1155623,0.0,0.0,-0.931640529002546,0.0
울산,2019,2-3. 가사수행 격차,0.0,0,0,87.068452,2024,0.0,,1148019,0.0,0.0,-0.931640529002546,0.0
울산,2020,2-3. 가사수행 격차,0.0,0,0,87.535014,2024,0.0,,1136017,0.0,0.0,-0.931640529002546,0.0
울산,2021,2-3. 가사수행 격차,0.0,0,0,89.802171,2024,0.0,,1121592,0.0,0.0,-0.931640529002546,0.0
울산,2022,2-3. 가사수행 격차,0.0,0,0,94.590336,2024,0.0,,1110663,0.0,0.0,-0.931640529002546,0.0
울산,2023,2-3. 가사수행 격차,0.0,0,0,97.706583,2024,0.0,,1103661,0.0,0.0,-0.931640529002546,0.0
울산,2024,2-3. 가사수행 격차,0.0,0,0,100.0,2024,0.0,,1098049,0.0,0.0,-0.931640529002546,0.0
울산,2016,3-1. 의료서비스 여건,2292.0,10,0,83.786765,2024,2735.5155674049474,,1172304,2333.452387268957,7.755532618944474,-1.0219826115533637,25.713423739539113
울산,2017,3-1. 의료서비스 여건,4797.0,10,0,85.339636,2024,5621.069206341588,105.4848187785686,1165132,4824.405480530608,8.48165004765781,-0.32598831942003426,37.047049278688505
울산,2018,3-1. 의료서비스 여건,1363.0,11,0,86.797969,2024,1570.3132408547488,-72.0637981278873,1155623,1358.8456104237703,7.215126450538789,-1.5399699146683363,17.278477944876837
울산,2019,3-1. 의료서비스 여건,13849.0,13,0,87.068452,2024,15905.87598823969,912.9110278393783,1148019,13855.06336414266,9.536478203839007,0.6850800654616536,53.51136600978959
울산,2020,3-1. 의료서비스 여건,18285.0,11,0,87.535014,2024,20888.78400133688,31.327466759965915,1136017,18387.738917055714,9.81949374086181,0.9563546424979872,57.92882245903294
울산,2021,3-1. 의료서비스 여건,10093.0,21,0,89.802171,2024,11239.14921834128,-46.195292087744434,1121592,10020.710934405095,9.21250911199904,0.3745509005746712,48.45468477893312
울산,2022,3-1. 의료서비스 여건,36223.2,21,0,94.590336,2024,38294.82115382273,240.72704623699659,1110663,34479.244517754465,10.44814181633469,1.558923118322937,67.74109469155826
울산,2023,3-1. 의료서비스 여건,46782.0,23,0,97.706583,2024,47880.09012657827,25.03019647030966,1103661,43382.96825436277,10.677845256784568,1.77909726249655,71.32642769165761
울산,2024,3-1. 의료서비스 여건,50633.0,24,0,100.0,2024,50633.0,5.749592087533673,1098049,46111.78553962528,10.738845534124854,1.8375669303058186,72.27855233957321
울산,2016,3-2. 산후조리 여건,874.0,2,0,83.786765,2024,1043.124173609042,,1172304,889.8068876409549,6.792127667325655,-1.1473565533926358,69.41680444110648
울산,2017,3-2. 산후조리 여건,899.0,1,0,85.339636,2024,1053.4378187411064,0.988726499969883,1165132,904.1360281419671,6.8080852397441,-1.1319797902063693,69.579893790745
