연도,지역,대분류,중분류,구분,세부사업명,당해예산,전년도예산,증감액,증감율,출생환경_대영역,출생환경_세부영역
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,직원 출산축하금 지원,5.0,0.0,5.0,,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,목초 청년창업자 금융(종잣돈) 지원,100.0,0.0,100.0,,1. 경제·고용·주거,1-1. 고용여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,목포 청년취업 아카데미 운영,30.0,70.0,-40.0,-57.1,1. 경제·고용·주거,1-1. 고용여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,대학생 동･하계 아르바이트 지원,51.0,109.0,-58.0,-53.2,1. 경제·고용·주거,1-1. 고용여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,대학생 학자금 대출이자 지원,50.0,50.0,0.0,0.0,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,산모･신생아 건강관리 지원 사업,522.0,500.0,22.0,4.4,3. 보건·안전,3-2. 산후조리 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,태아 기형아 검사비 지원 사업,75.0,75.0,0.0,0.0,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,난임부부 지원,20.0,15.0,5.0,33.3,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,영･유아 발달장애 정밀 검사비 지원,3.0,3.0,0.0,0.0,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,영･유아 정장제 영양제 지원,54.0,57.0,-3.0,-5.3,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,모유 수유실 운영 관리,6.0,6.0,0.0,0.0,2. 가족·생활,2-1. 돌봄 여건
